side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,bars_held,exit_reason
SHORT,2025-12-11 17:30:00+00:00,2025-12-11 18:00:00+00:00,90052.6,90193.69,-141.0899999999965,-0.001566750987756006,6,FLIP
LONG,2025-12-11 18:05:00+00:00,2025-12-11 18:40:00+00:00,90217.06,90785.02214285714,567.9621428571409,0.0062955071120378,7,TP
LONG,2025-12-11 18:55:00+00:00,2025-12-11 19:35:00+00:00,90708.37,91464.02714285714,755.6571428571478,0.008330622001664763,8,TP
LONG,2025-12-11 19:45:00+00:00,2025-12-11 19:50:00+00:00,91416.68,91073.00428571428,-343.67571428570955,-0.0037594420874364457,1,SL
LONG,2025-12-11 20:00:00+00:00,2025-12-11 21:00:00+00:00,91117.98,91928.73,810.75,0.008897804802081872,12,TP
LONG,2025-12-11 21:05:00+00:00,2025-12-11 21:15:00+00:00,92277.99,93129.375,851.3849999999948,0.009226306294707923,2,TP
LONG,2025-12-11 21:25:00+00:00,2025-12-11 21:50:00+00:00,93279.58,92878.72685714286,-400.8531428571441,-0.004297330057201631,5,SL
LONG,2025-12-11 22:00:00+00:00,2025-12-11 22:20:00+00:00,92967.98,92526.272,-441.7079999999987,-0.004751184224934206,4,SL
LONG,2025-12-11 22:30:00+00:00,2025-12-11 22:40:00+00:00,92697.97,92302.44914285715,-395.52085714285204,-0.004266769349348772,2,SL
LONG,2025-12-11 22:55:00+00:00,2025-12-12 00:50:00+00:00,92381.76,92037.37114285714,-344.38885714285425,-0.0037278880283602984,23,SL
LONG,2025-12-12 01:00:00+00:00,2025-12-12 01:25:00+00:00,91618.01,92123.96,505.95000000001164,0.005522385827852097,5,FLIP
SHORT,2025-12-12 01:35:00+00:00,2025-12-12 02:10:00+00:00,92187.86,92476.148,-288.28800000000047,-0.0031271796525052264,7,SL
LONG,2025-12-12 02:20:00+00:00,2025-12-12 04:20:00+00:00,92369.99,92135.87685714287,-234.11314285713888,-0.002534515191104155,24,SL
LONG,2025-12-12 04:25:00+00:00,2025-12-12 05:00:00+00:00,92228.64,92506.61142857143,277.971428571429,0.0030139382795997967,7,TP
LONG,2025-12-12 05:15:00+00:00,2025-12-12 05:20:00+00:00,92275.02,92154.23400000001,-120.78599999999278,-0.0013089783128737635,1,SL
SHORT,2025-12-12 05:25:00+00:00,2025-12-12 05:35:00+00:00,92143.6,92275.32914285715,-131.72914285714796,-0.0014296070791367816,2,SL
LONG,2025-12-12 05:45:00+00:00,2025-12-12 07:35:00+00:00,92425.99,92286.65628571429,-139.3337142857199,-0.0015075166009660258,22,SL
LONG,2025-12-12 07:40:00+00:00,2025-12-12 08:20:00+00:00,92470.0,92351.94142857143,-118.05857142856985,-0.0012767229526178204,8,SL
SHORT,2025-12-12 08:35:00+00:00,2025-12-12 08:55:00+00:00,92250.71,92383.19171428573,-132.48171428572095,-0.0014361050910689029,4,SL
SHORT,2025-12-12 09:00:00+00:00,2025-12-12 09:50:00+00:00,92290.46,92410.43257142858,-119.97257142857416,-0.0012999455353085699,10,SL
LONG,2025-12-12 10:20:00+00:00,2025-12-12 11:15:00+00:00,92500.81,92354.02942857142,-146.7805714285787,-0.0015868030931683592,11,SL
LONG,2025-12-12 11:20:00+00:00,2025-12-12 12:00:00+00:00,92338.77,92296.79,-41.98000000001048,-0.00045463027068706323,8,FLIP
SHORT,2025-12-12 12:05:00+00:00,2025-12-12 12:50:00+00:00,92269.15,92374.24257142856,-105.0925714285695,-0.001138978428094,9,SL
SHORT,2025-12-12 13:00:00+00:00,2025-12-12 13:15:00+00:00,92375.96,92494.4582857143,-118.49828571428952,-0.0012827827252273158,3,SL
SHORT,2025-12-12 13:20:00+00:00,2025-12-12 14:30:00+00:00,92400.0,92074.91357142857,325.0864285714342,0.0035182513914657383,14,TP
SHORT,2025-12-12 14:45:00+00:00,2025-12-12 14:50:00+00:00,92332.0,92558.71685714286,-226.71685714286286,-0.0024554526831744453,1,SL
SHORT,2025-12-12 15:00:00+00:00,2025-12-12 15:25:00+00:00,92168.02,91499.04357142857,668.9764285714336,0.007258227187384883,5,TP
SHORT,2025-12-12 15:30:00+00:00,2025-12-12 16:35:00+00:00,90648.0,89577.0942857143,1070.9057142857055,0.011813892355989161,13,TP
LONG,2025-12-12 16:45:00+00:00,2025-12-12 17:20:00+00:00,89863.51,90275.22,411.7100000000064,0.004581503660384581,7,FLIP
SHORT,2025-12-12 17:25:00+00:00,2025-12-12 17:35:00+00:00,89853.83,90270.02342857143,-416.1934285714233,-0.004631894139308511,2,SL
SHORT,2025-12-12 17:40:00+00:00,2025-12-12 18:15:00+00:00,90211.99,90582.95114285714,-370.961142857137,-0.004112104642156071,7,SL
SHORT,2025-12-12 18:20:00+00:00,2025-12-12 18:40:00+00:00,90348.8,90667.91428571429,-319.11428571428405,-0.0035320257237980365,4,SL
SHORT,2025-12-12 18:50:00+00:00,2025-12-12 20:30:00+00:00,90604.89,89950.14428571428,654.7457142857165,0.007226383855062531,20,TP
SHORT,2025-12-12 20:35:00+00:00,2025-12-12 20:40:00+00:00,89958.54,90141.04628571427,-182.5062857142766,-0.00202878221138623,1,SL
SHORT,2025-12-12 20:55:00+00:00,2025-12-13 00:05:00+00:00,90220.0,90428.58314285714,-208.58314285714005,-0.002311939069575926,38,SL
